# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 21 11:56:20 2022
#
# CONSTRAINT:  where (koi_pdisposition like 'CANDIDATE')
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.488035570,2.7750000e-05,-2.7750000e-05,170.5387500,2.160000e-03,-2.160000e-03,0.1460,0.3180,-0.1460,2.95750,0.08190,-0.08190,6.1580e+02,1.950e+01,-1.950e+01,2.26,2.600e-01,-1.500e-01,793.0,,,93.59,29.45,-16.65,35.80,1,q1_q17_dr25_tce,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.9270,0.1050,-0.0610,291.934230,48.141651,15.347
10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.9690,0,0,0,0,54.418382700,2.4790000e-04,-2.4790000e-04,162.5138400,3.520000e-03,-3.520000e-03,0.5860,0.0590,-0.4430,4.50700,0.11600,-0.11600,8.7480e+02,3.550e+01,-3.550e+01,2.83,3.200e-01,-1.900e-01,443.0,,,9.11,2.87,-1.62,25.80,2,q1_q17_dr25_tce,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.9270,0.1050,-0.0610,291.934230,48.141651,15.347
10811496,K00753.01,,CANDIDATE,CANDIDATE,0.0000,0,0,0,0,19.899139950,1.4940000e-05,-1.4940000e-05,175.8502520,5.810000e-04,-5.810000e-04,0.9690,5.1260,-0.0770,1.78220,0.03410,-0.03410,1.0829e+04,1.710e+02,-1.710e+02,14.60,3.920e+00,-1.310e+00,638.0,,,39.30,31.04,-10.49,76.30,1,q1_q17_dr25_tce,5853.00,158.00,-176.00,4.544,0.044,-0.176,0.8680,0.2330,-0.0780,297.004820,48.134129,15.436
10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.525591777,3.7610000e-06,-3.7610000e-06,171.5955500,1.130000e-03,-1.130000e-03,0.7010,0.2350,-0.4780,1.65450,0.04200,-0.04200,6.0330e+02,1.690e+01,-1.690e+01,2.75,8.800e-01,-3.500e-01,1406.0,,,926.16,874.33,-314.24,40.90,1,q1_q17_dr25_tce,6031.00,169.00,-211.00,4.438,0.070,-0.210,1.0460,0.3340,-0.1330,288.754880,48.226200,15.509
10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.094320540,2.0360000e-05,-2.0360000e-05,171.2011600,1.410000e-03,-1.410000e-03,0.5380,0.0300,-0.4280,4.59450,0.06100,-0.06100,1.5175e+03,2.420e+01,-2.420e+01,3.90,1.270e+00,-4.200e-01,835.0,,,114.81,112.85,-36.70,66.50,1,q1_q17_dr25_tce,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,296.286130,48.224670,15.714
10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.134435120,1.0460000e-05,-1.0460000e-05,172.9793700,1.900000e-03,-1.900000e-03,0.7620,0.1390,-0.5320,3.14020,0.06730,-0.06730,6.8600e+02,1.870e+01,-1.870e+01,2.77,9.000e-01,-3.000e-01,1160.0,,,427.65,420.33,-136.70,40.20,2,q1_q17_dr25_tce,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,296.286130,48.224670,15.714
10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,2.566588970,1.7810000e-05,-1.7810000e-05,179.5543700,4.610000e-03,-4.610000e-03,0.7550,0.2120,-0.5230,2.42900,0.16500,-0.16500,2.2650e+02,1.680e+01,-1.680e+01,1.59,5.200e-01,-1.700e-01,1360.0,,,807.74,793.91,-258.20,15.00,3,q1_q17_dr25_tce,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,296.286130,48.224670,15.714
10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,16.068646740,1.0880000e-05,-1.0880000e-05,173.6219370,5.170000e-04,-5.170000e-04,0.0520,0.2620,-0.0520,3.53470,0.02410,-0.02410,4.9143e+03,3.330e+01,-3.330e+01,5.76,2.200e-01,-4.900e-01,600.0,,,30.75,4.46,-6.66,161.90,1,q1_q17_dr25_tce,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,286.999480,48.375790,15.841
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8110,0,0,0,0,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,0.8180,0.0010,-0.0010,1.74319,0.00107,-0.00107,1.4231e+04,4.200e+00,-4.200e+00,13.04,5.100e-01,-5.100e-01,1339.0,,,761.46,106.21,-95.76,4304.30,1,q1_q17_dr25_tce,5820.00,78.00,-78.00,4.457,0.024,-0.024,0.9640,0.0380,-0.0380,286.808470,49.316399,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,0.2240,0.1590,-0.2160,3.88864,0.00203,-0.00203,6.6747e+03,1.700e+00,-1.700e+00,16.10,8.100e-01,-9.100e-01,2048.0,,,4148.92,651.59,-654.46,5945.90,1,q1_q17_dr25_tce,6440.00,76.00,-89.00,4.019,0.033,-0.027,1.9520,0.0990,-0.1100,292.247280,47.969521,10.463
